reviews_name,reviews_text,reviews_reviewer,reviews_date,reviews_stars
6t is not responding after half hour of usage,I have purchased 6t and delivered today...after few hours of use it starts to hang and error occurred... some one can tell is this is ' unlocked the speed',Akash Jaiswal,6 November 2018,1.0 out of 5 stars
Battery problem and disappointing customer support.,"OnePlus 6T turned out to be an utter disappointment for me. I received a faulty device and when tried getting support from OnePlus I received disappointment only. Even after 6 calls, several mails and a visit to the service centre I got no solution as such. The cherry on top of all this was lie by the people at service centre. He couldn't connect my device to the laptop for software update and told me he updated the device. I could see that my email id was still there. How's it even possible if the software was updated after hard reset?
My device has battery drain and heating issues along with apps crashing.
It's not just OnePlus but Amazon too didn't help me either. They couldn't even connect a call to the technical support department.
I feel cheated and betrayed by both OnePlus and Amazon.",Mani,13 November 2018,1.0 out of 5 stars
Dead on arrival,"I charged the phone completely out of the box and then turned it on. It went to the Oneplus logo screen but did nothing after that. No buttons work, no combinations of any buttons do anything to take it out of logo screen, it won't even turn off. Amazon won't allow return until technician looks at the phone??? Oneplus support said take it to a service center but couldn't tell me the closest one. Really disappointed in lack of support form both companies for a brand new product and release. I'm sure they will now try to push a replacement but I'm not really interested in the product anymore.",klknow,4 November 2018,1.0 out of 5 stars
Amazon just cheats their customers,"OnePlus 6t is an amazing phone but the worst is Amazon service. I had prebooked the OnePlus 6t on 26th of October and was entitled for the free earphones and 500 Amazon cash back. The worst part is they allow to buy gift card more than one and while booking it is limited toonly one unit per ID. So to order the phone I had to use another ID. Now I got to know that I'm not entitled to get the preorder promotions.
The question arises is why they allow to purchase 2 gift cards and redeem only one.",abhinav saksena,7 November 2018,1.0 out of 5 stars
Defected display phone one plus 6t dileverd by Amazon.,"There is white light line on the left side of display. Amazon send me defected item, as you see on the snap shot giving above. And Amazon says install smartckeck and take snap shot and send. They will see and not replacing my phone as they say we replace with in 10 days. Disgusting. It was my last item I purchased by Amazon.",sanjay,4 November 2018,1.0 out of 5 stars
Value for money. Hardware and Software are top notch.,"I pre-ordered the phone on 9th Oct and literally waited for more than a month for this phone. It was worth waiting.
Phone looks similar to one plus 6 however the technology you get in this phone is updated and is latest. The notch looks beautiful compared to other waterdrop notch phones. I'm not an audiphile so can't complain much about the removal of headphone jack. I'm pretty comfortable with wireless earphones. The OS is something which needs to be considered the most on a phone, which most of the people ignore. I migrated from a Sony phone and see a huge difference in the usage, the OS is smooth as butter and is calibrated for daily driver. You can perform many tasks at a snap of your fingers and never experience a lag on the phone. Camera is good, clicks are clear. Portrait and night mode are very useful and handy. Slow motion works well. Battery life is comparably good, you get around 6 hrs of SOT from a full charge. I feel that's more than enough for a daily driver and works well for gamers. Charging is pretty fast you can charge the phone from 0 to 100 in 1 hr 20min.
I feel it's worth paying 40k for a premium phone like this, which offers good support for your OS and provides Android updates for 2 yrs. Rather than spending 25k+ for plastic and non premium phones. BTW this comes with no bloatware and is completely based on stock OS which contains a lot of tweaks and customizatios. That's the best part of the phone.
Go for it if you don't want to compromise !!",Surya Kiran,4 November 2018,5.0 out of 5 stars
Only one side of speakers is working,Only one side of speakers is working. Right side is not working,Sneha,4 November 2018,1.0 out of 5 stars
Worst experience ever faced with amazon.,"Phone is getting hanged and face unlock is not working. I received a phone on 8th November and logged a call with amazon on 9th november that my phone is getting hanged frequently and face unlock is not working properly. They have scheduled the technician visit on 11th November, however, technician not visited. I called amazon related technician, executive told me that technician not visited due to some personal reasons. They don't bother to inform customer if technician are not going to visit.
Worst experience faced ever.
Don't buy anything from Amazon.
I have requested for replacement,but they're denying for replacement.",sagar sankar,11 November 2018,1.0 out of 5 stars
OnePlus 6t rocks🤘🤘,Best pH ever..👍👍👌👌,jaong,7 November 2018,5.0 out of 5 stars
Not happy with 6T,Brightness is very low. I was using OnePlus 5. 20% of brightness in OnePlus 5 is equal to 65% brightness in 6T which may cause in draining the battery. Not happy with it. Also unlocking with fingerprint is not up to the mark. Totally not so happy with it. Thinking to return it and use OnePlus 5 only,Jithendra M S,7 November 2018,1.0 out of 5 stars
Don't buy,"Don't buy anyone this product because both sim not 4g, no notification light, extra large display, no battery backup, I want sell my one plus 6t",AMRIT LAL,4 November 2018,1.0 out of 5 stars
Taken headphone jack away ! Given nothing new in return!,"OnePlus you make great phones! I have bought and used every phone since OnePlus X !
But it's kinda stupid to remove the headphone jack !
And what did we get in return a slow fingerprint reader ?
No IP rated Water resistance ? No wireless charging?
Everyone's loves new features, but not at the cost of essential ones !",Mihir Chandan,6 November 2018,1.0 out of 5 stars
Don't buy,"Don't buy this Mobile worst network connectivity also no support any service centres, in Maharashtra only 4 services centre unfortunately at my location 300 km from me I was so sad call centre suggest me you visit to service centre to resolve issues .....very slow browsing like 2G phones ...... camera is good but without connecting network it's like only photographer camera...",Amazon Customer,10 November 2018,1.0 out of 5 stars
Product missing,I ordered one plus 6t phone today I got delivered wen I opened found that ear phones missing in the boxes plz let me clear the issue,kasam phanith,4 November 2018,1.0 out of 5 stars
Useless,"Bought the costliest one. 8gb 256gb model.
Received a phone with flickering screen, screen shows different colors every now and then... Battery drains fast and phone heats up even on normal usage. I have used OP3t for 2 years and never faced any problem. But This one didnt stay even for 2 days and I had to request for replacement. 1 day passed and no help, finally anazon says replacement not possible, only refund possible. I hope at least the refund process goes smooth.",Amazon Customer,12 November 2018,1.0 out of 5 stars
OnePlus-6T Edge-to-Edge 6D Tempered-...,,,,₹ 950.00 (63%)
Worst Product One Plus 6T,"Phone is not working after update.
I need immediate replacement or need my money back without further delay.",Virendra Chauhan,7 November 2018,1.0 out of 5 stars
Worst battery life,battery drain issue,Shashi Kant,7 November 2018,1.0 out of 5 stars
Type C to audio adapter is missing.,"I just got the new one plus 6t. But not received all other accessories with it. Only received one charger , one protective case that s it. Type C to audio adapter is missing.",Ashish Kamboj,7 November 2018,1.0 out of 5 stars
Not strongest glass back,"They are telling it comes. With strongest back glass, on the first day itself, for a drop from 4 feet hieght my phone got a new back shattered glass",Abhiram,4 November 2018,1.0 out of 5 stars
Customer care gets negative rating,"Pros: Hardware supports good speed and camera.
Cons: Screen unlock doesn't work most of the time. Fingerprint is not upto mark and takes a few tries. Also Google smart Lock is not working. There was a defect on the screen protector applied and Amazon says that they product will not be replaced and they cannot do anything about it. Oneplus says buy a new tempered glass and put it!! Fingerprint sensor is hardly able to cope with the normal plastic protector. I don't know how will it work with a thick one. This was the first time I had problem with a product from Amazon and they showed their true colors. Sameer goes for OnePlus.",Ravi B.,6 November 2018,1.0 out of 5 stars
6t is good but doesn't worth buying at 36k,The whole product is good but 36k is more for it,Amazon Customer,8 November 2018,1.0 out of 5 stars
If your only need speed and battery life go for it.,It is not worth for the money. Low light camera performance still low. 25K poco does equal to 6T. In display finger print is laggy. You definitely won't like it. Good battery life.Average display. Performance is good.,Munisekaran,7 November 2018,1.0 out of 5 stars
Doesn't match the oneplus standard,Battery sucks.. 6 was much better than 6T hands down. I feel most of the reviews are paid reviews. I have been a proud owner of oneplus products but i am really disappointed in 6t. The battery won't last for a day even with minimal usage.,suraj nayak,4 November 2018,1.0 out of 5 stars
Amazing beast from Oneplus,Super fast Super cool phone. In display fingerprint scanner is so futuristic. It’s time to embrace technology - time to use Bluetooth headphones & goodbye 3.5mm jack.,Subhash Chandran,4 November 2018,5.0 out of 5 stars
Scartches on screen guard/screen,"I got this phone with a minor scratches on the pre installed screen protector, however I'm not sure if those are on the protector or the screen itself. I couldnt file a complain since I am travelling constantly. Will obviously reach out you guys once I'm getting back home.",Amazon Customer,5 November 2018,1.0 out of 5 stars
OnePlus-6T Edge-to-Edge 6D Tempered-...,,,,₹ 950.00 (63%)
Detailed review after 24 hours usage with battery statistics,"NOTE:
@ Try to buy it in ongoing sale for best price.
@ If you are normal or even heavy user, then just go for 6GB variant. Its more than enough to handle almost everything.
After using this smartphone for more than 24 hours, following are the observations,
●● If you want to get quick overview of the device, then read below else scroll down for Detailed Review ●●
# Awesome Build quality.
# Great Infinity Display with Crystal Clear output ( ~86% screen to body ratio )
# Above average Camera quality.
# Insane Battery Backup.
# Flawless in Multitasking ( No Lags detected at all )
# Sufficiently Large memory.
# Lightening Fast in-display Finger print scanner.
# Even faster Face unlock.
DETAILED REVIEW -->
===============
BUILD QUALITY :--
---------------------
1. Build Quality is Great and it looks very Rigid.
2. Light Weight about 185g considering the size of phone.
3. Glass Finish looks very Premium, but is strong finger print magnet.
4. Has Corning Gorilla Glass 6.
5. Fingerprint sensor is Lightening Fast.
PROCESSOR & MEMORY :--
------------------------------------
1. Have 2.8GHz Qualcomm Snapdragon 845 octa core processor with Adreno 630 Graphics Unit.
2. This Processor perfectly balance the Battery life & Performance.
3. 6GB Ram is great and handles Heavy Multitasking seamlessly.
4. Has 128GB in-built memory, which is more than sufficient.
5. Supports Android Oreo out of the box.
DISPLAY :--
------------
1. Screen is 6.42 inches Optic AMOLED display with Corning Gorilla Glass 6.
2. Has Awesome Viewing Angles.
3. Brightness is also well balanced with the Pixel density.
4. Has good screen to Body ratio ( ~86% ).
# Has decent Pixel Density ~402 ppi which gives crystal Clear display output.
5. In display finger print scanner is the USP of this device and stands out with the amazing unlock animation.
BATTERY PERFORMANCE :--
------------------------------------
1. Charged from 45 to 100% in just 1hour with stock charger.
2. This is so far Quickest Charging Time available in any smartphone.
3. Its being over 28 hours now since the full charge, and battery has drained only 29%.
* In this meantime, I have kept the 4G ON continuously ( JIO 4G ).
4. I got screen time of 2 hours, so far. So by this equation, I shall get over 8 hours of screen time with 4G continuously ON and over 2 Days of Standby time.
*** I will update the battery performance after more detailed results.
CAMERA QUALITY :--
-------------------------
This is the section were I am Disappointed.
1. Night mode is Disaster and certainly not for the on the go users.
* A single snap in this mode takes from 5secs to 15secs, and any single movement distorts the image.
2. Photos in normal mode are much better.
3. Video recording is upto 4K 60 FPS which is good, but there's NO Slow motion.
4. Portrait mode also looks similar to previous version.
5. Front selfie camera is also not very impressive. Its Not at all worth the 38k price tag.
CONNECTIVITY :--
--------------------
So far I used JIO sim card alone and was facing issue while downloading.
1. Calling is fine.
2. Web browsing is also fine.
3. But downloading speed used to fluctuate from 10kbps to 700kbps, very frequently.
* Frequency of speed variation was way to much.
OTHER FEATURES :--
--------------------------
1. Finger Print Sensor is Lightening Fast.
2. Games like PUBG works buttery smooth even at Ultra High settings.
CONS :
------
1. Camera is Not impressive.
2. NO earphone jack.
3. Ram Consumption by System apps. is above moderate.
4. Phone is very Slippery and prone to complete Damage if falls.
5. Phone is literally finger print magnet.
VERDICT :--
------------
Considering the price and the feature, if you get it for 38K, then don't go for it. Its not worth that price.
I got this phone at 3k less and plus I got type -C earphone Free, so if you are going to get any discount, then only go for it. Else better go for something else.",Mr.Perfectionist,4 November 2018,5.0 out of 5 stars
Don't think again... Go for it,"Coming from OnePlus 2, this is a huge upgrade. So I liked many things about this phone. Amazing display. I'm not a notch fan but this is the cutest notch I've seen. Absence of 3.5mm jack might be a let down for many fans including me and I still don't agree with their decision. There is no LED notifications also.
Performance wise there's no need of even comparing because this is the best (SD845+OxygenOS+8GB RAM = TRUE WONDER).
Didn't get a chance to test the camera much, so no comments on the camera.
Some might face problems with fingerprint scanner but register them properly and you would not get any problems. I had none till now.
I didn't think that the case in the box would be so good. It's very nice and I've seen phone dropping from 10ft not breaking with this case.
Many intrusive ads are comparing this with Pocophone F1. I just laugh at them. OnePlus has a way more premium feel than Pocophone.",Mohammad Naumaan K,4 November 2018,5.0 out of 5 stars
Black spot defect on screen,"Black spot detected on the bottom left of the screen.
Returning the product.
Highly Disappoint with #oneplus6T",Gaurav Bansal,4 November 2018,1.0 out of 5 stars
One+6 t is really good phone,I like this product very much,Sobhagya,10 November 2018,5.0 out of 5 stars
"Worst product and bad arrives,pls don't buy.",Very wrost product from one plus..my first experience with Amazon is very bad.ring volume is mute can't rise volume and one speaker is not working...,MUTHUKUMAR,6 November 2018,1.0 out of 5 stars
Not good,38000 price not good,saket,7 November 2018,1.0 out of 5 stars
Good product but very costly,The discount could have been more,Sandy2819i,7 November 2018,1.0 out of 5 stars
Awesome phone,Best phone i ever had,Atharv Mishra,6 November 2018,5.0 out of 5 stars
